RESPNUM,CCGID,RUN,INTDATE,GATE,STRATA,PEAK,METHOD,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,ARRTIME,DEPTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q2PURP4,Q2PURP5,Q2PURP6,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3GETTO4,Q3GETTO5,Q3GETTO6,Q3PARK,Q4BAGS,Q4BUY,Q4FOOD,Q4WIFI,Q5FLYPERYR,Q6TENURE,SAQ,Q7A_ART,Q7B_FOOD,Q7C_SHOPS,Q7D_SIGNS,Q7E_WALK,Q7F_SCREENS,Q7G_INFOARR,Q7H_INFODEP,Q7I_WIFI,Q7J_ROAD,Q7K_PARK,Q7L_AIRTRAIN,Q7M_LTPARK,Q7N_RENTAL,Q7O_WHOLE,Q8COM1,Q8COM2,Q8COM3,Q9A_CLNBOARD,Q9B_CLNAIRTRAIN,Q9C_CLNRENT,Q9D_CLNFOOD,Q9E_CLNBATH,Q9F_CLNWHOLE,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11A_USEWEB,Q11B_USESFOAPP,Q11C_USEOTHAPP,Q11D_USESOCMED,Q11E_USEWIFI,Q12COM1,Q12COM2,Q12COM3,Q13_WHEREDEPART,Q13_RATEGETTO,Q14A_FIND,Q14B_SECURITY,Q15_PROBLEMS,Q15COM1,Q15COM2,Q15COM3,Q16_REGION,Q17_CITY,Q17_ZIP,Q17_COUNTRY,HOME,Q18_AGE,Q19_SEX,Q20_INCOME,Q21_HIFLYER,Q22A_USESJC,Q22B_USEOAK,LANG,WEIGHT
"2,949","3,341","2,019",10,50,3,2,1,36,938,50,1,4,5:00 PM,6:25 PM,6,8,,,,,2,10,,,,,,2,2,1,2,3,4,2,4,3,3,4,4,4,6,6,4,4,6,4,6,6,4,4,1,,5,4,6,5,5,5,,,,4,,,,3,3,2,2,1,,,,5,5,5,5,2,,,,1,SAN FRANCISCO,"94,102",US,1,3,1,2,2,1,1,1,1.222456
"2,950","3,342","2,019",10,50,3,2,1,36,938,50,1,4,5:40 AM,6:25 PM,3,8,,,,,2,10,,,,,,2,2,2,2,3,1,2,4,4,3,4,3,4,4,4,4,3,6,6,6,6,4,,,,4,6,6,4,4,4,,,,4,,,,2,2,2,2,1,,,,5,0,4,4,2,,,,1,,,US,90,2,1,1,2,2,1,1,1.222456
"2,951","3,343","2,019",10,50,3,2,1,36,938,50,1,4,4:30 PM,6:25 PM,1,8,,,,,4,10,,,,,,2,1,2,2,2,4,2,4,4,3,3,4,3,3,3,4,6,6,6,6,6,4,,,,5,4,6,4,6,4,,,,5,,,,2,2,2,2,2,,,,5,3,4,3,2,,,,3,HERMOSA BCH,"90,254",US,10,5,1,3,2,2,2,1,1.222456
"2,952","3,344","2,019",10,50,3,2,1,36,938,50,1,4,5:20 PM,6:25 PM,2,8,,,,,2,10,,,,,,2,1,1,2,3,4,2,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,,,,5,6,6,5,5,5,,,,5,,,,2,2,2,2,2,,,,5,5,5,5,2,,,,3,LOS ANGELES,"90,028",US,10,3,2,3,1,0,1,1,1.222456
"2,953","3,345","2,019",10,50,3,2,1,36,938,50,1,4,5:00 PM,6:25 PM,2,3,8,,,,5,10,,,,,,2,2,1,2,3,2,2,3,2,3,4,3,3,6,6,3,4,4,5,6,6,4,176,,,4,3,6,4,4,4,,,,4,,,,2,2,2,2,1,,,,5,5,5,5,2,,,,1,SAN FRANCISCO,"94,117",US,1,3,1,5,2,1,2,1,1.222456
"2,954","3,346","2,019",10,50,3,2,1,36,938,50,1,4,4:55 PM,6:25 PM,3,8,,,,,2,10,,,,,,2,1,2,2,1,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,5,5,5,5,5,5,,,,4,,,,2,2,2,2,2,,,,5,5,5,5,2,,,,1,SAN FRANCISCO,"94,117",US,1,3,2,2,2,2,2,1,1.222456
"2,955","3,347","2,019",10,50,3,2,1,36,938,50,1,4,4:00 PM,6:25 PM,1,8,,,,,4,10,,,,,,1,2,1,2,4,2,2,6,4,4,5,6,4,6,6,6,6,6,4,6,6,5,,,,5,5,5,5,5,5,,,,5,,,,2,2,2,2,2,,,,5,5,5,4,2,,,,1,SAN FRANCISCO,"94,107",US,1,3,1,4,2,2,2,1,1.222456
"2,956","3,348","2,019",10,50,3,2,1,36,938,50,1,4,5:10 PM,6:25 PM,2,3,8,,,,1,10,,,,,4,2,2,1,1,4,2,2,6,4,4,5,5,5,6,6,5,5,4,6,4,6,5,910,,,5,6,6,5,5,5,,,,5,,,,2,2,2,2,1,,,,5,5,5,4,2,,,,1,OAKLAND,"94,609",US,3,3,2,3,2,2,1,1,1.222456
"2,957","3,349","2,019",10,50,3,2,1,36,938,50,1,4,5:00 PM,6:25 PM,2,8,,,,,1,10,,,,,4,2,2,1,1,4,4,2,4,4,3,3,5,5,6,6,4,5,3,5,6,6,5,30,,,5,4,6,4,4,5,89,,,5,,,,2,2,2,2,1,,,,1,5,5,4,2,,,,1,OAKLAND,"94,609",US,3,3,1,2,2,1,1,1,1.222456
"2,958","3,350","2,019",10,50,3,2,1,36,938,50,1,4,5:00 PM,6:25 PM,2,8,,,,,12,10,,,,,,2,1,2,1,5,4,2,2,4,4,3,4,4,4,4,5,4,3,2,2,3,4,,,,5,4,3,4,4,5,,,,5,2,24,,2,2,2,2,1,4,,,5,5,5,3,2,,,,3,NEW YORK CITY,"10,014",US,12,4,1,4,1,1,1,1,1.222456
"2,959","3,351","2,019",10,50,3,2,1,36,938,50,1,4,4:30 PM,6:25 PM,3,8,,,,,5,10,,,,,,0,0,1,1,3,2,2,4,5,5,5,4,5,6,6,3,5,6,5,6,6,4,900,903,,4,4,6,4,5,4,,,,5,,,,2,2,2,2,1,,,,1,4,5,5,2,,,,1,OAKLAND,"94,610",US,3,3,2,2,1,0,1,1,1.222456
"2,960","3,579","2,507",15,2,3,2,1,30,396,55,3,3,3:00 PM,5:50 PM,3,8,,,,,2,10,,,,,,1,1,2,2,2,4,1,5,6,5,5,5,5,6,6,6,2,6,6,6,6,5,,,,5,6,6,6,5,5,,,,5,1,,,2,2,2,2,2,,,,7,4,5,3,2,,,,1,SAN JOSE,"95,118",US,4,6,2,1,2,2,2,1,0.55367500000000003
"2,961","3,580","2,507",15,2,3,2,1,30,396,55,3,3,3:30 PM,5:50 PM,1,8,,,,,8,10,,,,,,2,2,1,2,3,4,2,6,3,6,3,4,4,6,4,6,4,6,4,6,4,4,120,,,4,4,4,4,4,4,,,,3,20,,,2,2,2,2,2,,,,9,2,4,4,2,,,,3,MAPLE GROVE,"55,369",US,11,3,1,4,2,1,2,1,0.55367500000000003
"2,962","3,581","2,507",15,2,3,2,1,30,396,55,3,3,4:00 PM,5:50 PM,3,8,,,,,2,10,,,,,,2,2,2,2,2,1,1,5,6,4,5,5,5,6,6,6,4,6,6,6,6,5,,,,5,6,6,6,5,5,,,,5,2,,,2,2,1,2,2,,,,13,3,4,4,2,,,,3,STACY,"55,079",US,11,5,2,2,2,2,2,1,0.55367500000000003
"2,963","3,582","2,507",15,2,3,2,1,30,396,55,3,3,3:45 PM,5:50 PM,1,8,,,,,8,10,,,,,,2,2,2,1,2,3,1,4,6,6,4,5,5,6,6,6,5,6,5,6,0,3,80,,,5,5,4,6,4,5,,,,5,5,,,2,2,2,2,1,,,,12,5,5,5,2,,,,3,MINNEAPOLIS,"55,408",US,11,3,1,2,2,2,2,1,0.55367500000000003
"2,964","3,583","2,507",15,2,3,2,1,30,396,55,3,3,3:40 PM,5:50 PM,3,8,,,,,2,10,,,,,,2,2,2,2,3,4,1,5,6,3,1,5,5,6,6,6,4,6,5,6,2,4,83,,,5,5,5,6,5,5,,,,5,5,,,2,2,2,2,2,,,,5,4,3,2,1,4,,,3,ST PAUL,"55,104",US,11,6,2,1,2,2,2,1,0.55367500000000003
"2,965","3,584","2,507",15,2,3,2,1,30,396,55,3,3,3:30 AM,5:50 PM,2,3,8,,,,2,10,,,,,,2,1,2,2,1,3,1,5,6,5,5,5,5,5,6,6,4,6,6,6,5,5,,,,5,6,6,6,5,5,,,,5,4,2,,2,2,2,2,2,,,,5,5,5,5,2,,,,3,MINNEAPOLIS,"55,406",US,11,7,1,2,2,2,2,1,0.55367500000000003
"3,586","3,260","2,107",11,5,2,3,1,14,590,90,8,4,9:00 AM,12:00 PM,2,8,,,,,3,10,,,,,,1,2,2,2,1,1,2,6,6,6,5,0,0,0,0,0,0,0,0,0,0,0,160,,,5,6,6,6,5,5,,,,5,,,,2,2,2,2,2,,,,11,5,5,5,2,,,,3,SHANGHAI,,CHINA,16,7,2,0,2,2,2,3,0.55367500000000003
"2,966","3,585","2,507",15,2,3,2,1,30,396,55,3,3,3:00 PM,5:50 PM,6,8,,,,,2,10,,,,,,1,2,1,1,1,4,1,3,5,4,3,2,4,5,6,5,3,6,6,6,6,5,183,,,4,6,6,4,6,5,,,,5,4,,,2,2,2,2,1,,,,9,5,4,4,2,,,,2,GUERNEVILLE,,US,10,4,1,1,1,1,1,1,0.55367500000000003
"2,967","3,586","2,507",15,2,3,2,1,30,396,55,3,3,4:30 PM,5:50 PM,3,8,,,,,5,10,,,,,,2,2,2,2,4,3,2,5,3,4,5,5,5,5,5,5,5,5,5,6,6,5,903,,,5,5,5,5,5,5,,,,5,1,,,2,2,2,2,2,,,,5,5,5,5,2,,,,1,SAN FRANCISCO,"94,110",US,1,2,1,0,2,2,1,1,0.55367500000000003
"2,968","3,587","2,507",15,2,3,2,1,30,396,55,3,3,2:45 PM,5:50 PM,1,8,,,,,8,10,,,,,,2,1,1,2,2,4,2,4,3,5,4,4,4,4,4,2,4,4,4,4,4,4,,,,5,5,5,5,4,5,,,,5,,,,2,2,2,2,2,1,,,5,4,5,4,2,,,,3,MINNEAPOLIS,"55,410",US,11,4,1,3,2,2,2,1,0.55367500000000003
"2,969","3,588","2,507",15,2,3,2,1,30,396,55,3,3,3:00 PM,5:50 PM,3,8,,,,,5,10,,,,,,1,2,2,2,1,1,2,5,6,6,5,5,5,5,6,6,4,6,6,6,6,5,,,,5,6,6,6,4,5,,,,5,,,,2,2,2,2,2,,,,1,5,4,5,2,,,,3,MASON CITY,"50,401",US,11,7,2,2,2,2,1,1,0.55367500000000003
"2,970","3,589","2,507",15,2,3,2,1,30,396,55,3,3,2:00 PM,5:50 PM,3,8,,,,,3,10,,,,,,2,1,2,2,3,4,2,5,3,3,3,3,3,6,1,6,3,6,6,6,3,3,176,,,5,6,5,5,2,5,21,,,3,,,,1,2,2,2,2,,,,11,0,1,5,1,,,,3,MINNEAPOLIS,,US,11,5,2,3,2,2,2,1,0.55367500000000003
"2,971","3,590","2,507",15,2,3,2,1,30,396,55,3,3,4:00 PM,5:50 PM,1,8,,,,,4,10,,,,,,1,2,1,2,1,3,2,4,3,3,3,4,4,6,6,6,6,6,6,6,6,3,2,20,230,5,6,6,5,3,4,,,,5,,,,2,2,2,2,2,1,,,5,3,3,3,2,,,,3,MINNEAPOLIS,"55,404",US,11,4,1,4,2,2,2,1,0.55367500000000003
"2,972","3,591","2,507",15,2,3,2,1,30,396,55,3,3,5:05 PM,5:50 PM,1,8,,,,,8,10,,,,,,2,1,1,1,1,2,2,3,2,3,5,5,5,2,2,5,2,6,4,6,3,4,,,,4,4,4,4,4,4,,,,5,,,,2,2,2,2,1,,,,5,2,4,4,1,22,,,3,OAK GROVE,,US,11,3,1,0,2,0,2,1,0.55367500000000003
"2,973","3,592","2,507",15,2,3,2,1,30,396,55,3,3,4:15 PM,5:50 PM,1,8,,,,,1,10,,,,,1,2,2,1,1,6,3,2,5,4,4,4,4,4,4,4,4,5,4,4,6,3,4,,,,3,3,3,5,4,4,,,,5,6,1,,2,2,2,2,1,4,,,6,4,5,5,2,,,,1,MOSS BEACH,"94,038",US,2,4,1,4,1,2,2,1,0.55367500000000003
"2,974","3,593","2,507",15,2,3,2,1,30,396,55,3,3,4:00 PM,5:50 PM,3,8,,,,,5,10,,,,,,2,2,1,2,1,4,2,4,4,6,5,5,5,6,6,6,6,6,6,6,6,4,266,,,5,6,6,5,6,5,,,,5,,,,2,2,2,2,2,1,,,5,5,5,5,2,,,,3,ST PAUL,"55,102",US,11,3,2,2,2,2,2,1,0.55367500000000003
"2,975","3,594","2,507",15,2,3,2,1,30,396,55,3,3,3:00 PM,5:50 PM,2,8,,,,,8,10,,,,,,1,2,1,2,1,1,2,3,3,3,3,3,4,3,3,2,3,3,4,6,4,4,,,,3,4,4,4,2,3,,,,4,28,,,2,2,2,2,2,3,,,5,3,3,2,2,,,,3,FARMINGTON,"55,024",US,11,3,1,3,2,2,2,1,0.55367500000000003
"2,976","3,595","2,507",15,2,3,2,1,30,396,55,3,3,3:00 PM,5:50 PM,3,8,,,,,5,10,,,,,,1,1,1,2,1,1,2,5,3,3,3,4,4,4,4,6,3,6,4,6,6,4,,,,5,3,6,4,4,4,,,,4,24,,,2,2,2,2,2,,,,1,0,4,4,2,,,,3,MASON CITY,"50,401",US,11,3,1,1,2,2,2,1,0.55367500000000003
"2,977","3,596","2,507",15,2,3,2,1,30,396,55,3,3,3:00 PM,5:50 PM,2,8,,,,,5,10,,,,,,2,1,1,2,1,1,2,3,2,3,3,3,3,3,3,3,6,6,3,6,6,3,,,,4,4,6,3,4,4,,,,5,,,,2,2,2,2,2,,,,12,0,0,0,2,,,,3,HUDSON,"54,016",US,11,3,1,2,3,2,2,1,0.55367500000000003
"2,978","3,597","2,507",15,2,3,2,1,30,396,55,3,3,4:00 PM,5:50 PM,3,8,,,,,1,10,,,,,3,2,2,1,2,2,4,2,4,4,6,4,3,4,6,6,6,3,4,4,4,4,4,266,204,,4,4,4,4,4,4,89,,,5,96,,,3,3,3,3,3,,,,31,4,3,4,2,,,,2,COOL,"95,614",US,10,5,1,4,2,1,2,1,0.55367500000000003
"2,979","3,598","2,507",15,2,3,2,1,30,396,55,3,3,3:30 PM,5:50 PM,1,8,,,,,11,10,,,,,,1,1,1,2,4,4,2,5,3,3,4,4,5,6,6,1,4,4,4,4,6,4,,,,4,5,6,4,4,4,,,,4,,,,1,2,3,3,1,6,,,3,5,5,2,2,,,,1,SAN RAFAEL,"94,901",US,6,3,2,4,2,2,1,1,0.55367500000000003
"2,980","3,599","2,507",15,2,3,2,1,30,396,55,3,3,4:10 PM,5:50 PM,1,8,,,,,4,10,,,,,,2,2,1,2,2,4,2,6,3,3,4,4,4,6,6,4,3,3,3,3,3,4,,,,4,3,4,4,4,4,,,,4,,,,2,2,2,2,1,,,,5,3,4,2,1,4,,,1,SAN FRANCISCO,,US,1,3,1,2,2,1,0,1,0.55367500000000003
"2,981","3,600","2,507",15,2,3,2,1,30,396,55,3,3,4:30 PM,5:50 PM,1,8,,,,,4,10,,,,,,2,2,2,2,6,2,2,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,,,,4,4,4,4,4,4,,,,5,,,,2,2,2,2,2,,,,6,5,5,5,0,,,,1,MILL VALLEY,,US,6,4,1,0,0,0,0,1,0.55367500000000003
"2,982","2,846","2,413",14,68,3,2,1,33,719,46,1,4,12:00 PM,5:23 PM,4,8,,,,,3,10,,,,,,1,2,1,1,1,1,1,6,6,3,4,4,3,6,6,5,6,6,6,6,6,4,200,,,5,6,6,6,4,5,,,,4,5,,,2,2,2,2,1,,,,11,0,0,0,2,,,,3,PARIS,,FRANCE,15,3,1,1,1,2,2,1,1.8708309999999999
"2,983","2,847","2,413",14,68,3,2,1,33,719,46,1,4,3:30 PM,5:23 PM,2,8,,,,,1,10,,,,,3,1,2,2,2,3,2,1,4,4,4,4,4,4,4,4,6,5,5,5,5,5,4,,,,5,5,5,5,5,5,,,,5,5,,,2,2,2,2,2,,,,6,4,5,5,2,,,,1,FREMONT,,US,3,7,1,4,2,2,2,1,1.8708309999999999
"2,984","2,848","2,413",14,68,3,2,1,33,719,46,1,4,4:00 PM,5:23 PM,1,8,,,,,1,10,,,,,3,0,0,0,0,3,4,1,4,4,4,5,5,5,5,5,3,4,4,4,4,4,4,,,,5,5,5,5,5,5,,,,4,,,,2,1,2,1,1,2,,,7,4,5,5,2,,,,1,SAN JOSE,,US,4,4,2,0,2,1,1,1,1.8708309999999999
"2,985","2,849","2,413",14,68,3,2,1,33,719,46,1,4,12:30 AM,5:23 PM,2,8,,,,,3,10,,,,,,1,1,1,2,1,1,2,4,4,4,3,4,4,3,3,6,6,6,6,6,6,3,69,,,0,0,0,5,5,5,,,,5,,,,2,2,2,2,2,,,,11,6,4,4,1,31,,,3,MELBOURNE,,AUSTRALIA,19,6,2,0,2,2,2,1,1.8708309999999999
"2,986","2,850","2,413",14,68,3,2,1,33,719,46,1,4,4:00 PM,5:23 PM,1,8,,,,,1,10,,,,,3,2,2,1,2,3,4,2,3,2,2,3,3,3,3,3,3,3,3,3,4,3,3,20,,,4,3,3,3,2,3,,,,5,,,,2,2,2,2,1,,,,7,4,3,3,2,,,,1,LOS ALTOS,"94,024",US,4,5,2,3,1,1,0,1,1.8708309999999999
"2,987","2,851","2,413",14,68,3,2,1,33,719,46,1,4,2:00 PM,5:23 PM,1,8,,,,,8,10,,,,,,2,2,2,1,4,2,2,4,3,3,3,4,5,6,6,5,3,3,5,6,5,3,209,,,5,5,5,5,4,5,,,,5,2,,,1,2,2,2,1,,,,5,4,3,4,3,,,,3,LAS VEGAS,"89,139",US,10,3,2,1,3,2,1,1,1.8708309999999999
"2,988","2,852","2,413",14,68,3,2,1,33,719,46,1,4,3:00 PM,5:23 PM,1,8,,,,,5,10,,,,,,2,2,1,2,4,4,2,4,4,4,5,4,4,6,6,5,4,4,4,4,6,4,,,,5,5,5,5,5,5,,,,0,,,,2,2,2,2,2,,,,1,5,5,5,0,,,,1,PLEASANTON,"94,566",US,3,6,1,4,2,2,1,1,1.8708309999999999
"2,989","2,853","2,413",14,68,3,2,1,33,719,46,1,4,12:30 PM,5:23 PM,2,8,,,,,3,10,,,,,,1,2,1,2,1,4,2,5,5,5,5,5,5,6,6,1,0,0,0,0,0,4,204,,,3,3,4,4,3,3,,,,3,17,,,3,3,3,3,3,,,,11,0,3,4,3,,,,3,LAS VEGAS,"89,141",US,10,5,2,0,2,1,1,1,1.8708309999999999
"2,990","2,854","2,413",14,68,3,2,1,33,719,46,1,4,12:30 PM,5:23 PM,2,8,,,,,3,10,,,,,,1,2,1,2,2,4,2,3,3,3,3,3,3,3,0,1,3,3,6,3,3,3,,,,3,6,3,3,3,3,,,,3,,,,0,0,0,0,0,,,,11,3,3,3,2,,,,3,LAS VEGAS,"89,141",US,10,6,1,4,1,2,1,1,1.8708309999999999
"2,991","2,855","2,413",14,68,3,2,1,33,719,46,1,4,1:00 PM,5:23 PM,2,8,,,,,8,10,,,,,,1,1,1,1,2,2,2,5,5,5,2,5,5,5,5,5,2,6,4,6,3,4,,,,5,5,4,5,4,4,,,,4,,,,2,2,2,1,1,,,,4,2,4,5,2,,,,3,EULESS,"76,051",US,11,4,1,4,2,2,2,1,1.8708309999999999
"2,992","2,856","2,413",14,68,3,2,1,33,719,46,1,4,4:30 PM,5:23 PM,1,8,,,,,3,10,,,,,,2,2,2,2,4,4,2,5,2,3,3,3,4,4,4,2,6,6,4,6,6,4,2,,,3,3,3,3,3,3,,,,5,,,,2,2,2,2,1,2,,,11,6,3,3,2,,,,3,BOISE,"83,669",US,10,6,1,3,2,2,1,1,1.8708309999999999
"2,993","2,857","2,413",14,68,3,2,1,33,719,46,1,4,4:00 PM,5:23 PM,1,8,,,,,4,10,,,,,,1,0,0,0,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,6,6,4,,,,5,6,6,4,4,4,,,,5,,,,2,2,2,2,2,,,,5,5,4,5,2,,,,1,BURLINGAME,"94,010",US,2,5,2,3,1,2,2,1,1.8708309999999999
"2,994","2,858","2,413",14,68,3,2,1,33,719,46,1,4,3:30 PM,5:23 PM,1,8,,,,,3,10,,,,,,2,2,2,1,3,4,2,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,,,,3,6,6,3,2,3,,,,4,,,,2,2,2,2,1,,,,11,3,3,3,0,,,,3,RENO,"89,511",US,10,6,1,3,2,1,1,1,1.8708309999999999
"2,995","2,859","2,413",14,68,3,2,1,33,719,46,1,4,3:00 PM,5:23 PM,2,8,,,,,3,10,,,,,,0,0,1,0,0,0,2,4,3,6,5,5,4,6,6,6,6,6,6,6,6,4,,,,5,6,6,4,4,4,,,,5,1,,,2,2,2,2,2,,,,11,6,5,5,2,,,,3,PENTICTON,,CANADA,13,6,2,1,2,2,2,1,1.8708309999999999
"2,996","2,860","2,413",14,68,3,2,1,33,719,46,1,4,3:00 PM,5:23 PM,2,8,,,,,3,10,,,,,,1,0,0,0,1,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,900,,,6,6,6,6,6,6,,,,4,5,,,2,2,2,2,2,,,,11,6,4,6,1,24,,,3,ORLANDO,"32,757",US,12,7,2,0,2,2,2,1,1.8708309999999999
"2,997","2,861","2,413",14,68,3,2,1,33,719,46,1,4,3:00 PM,5:23 PM,1,8,,,,,5,10,,,,,,1,2,1,2,1,1,2,3,3,3,4,4,4,4,4,1,6,6,6,6,6,4,,,,4,6,6,5,3,4,,,,5,,,,2,2,2,2,2,,,,12,5,5,4,2,,,,3,MANCHESTER,,ENGLAND,15,3,2,1,1,2,2,1,1.8708309999999999
"2,998","2,862","2,413",14,68,3,2,1,33,719,46,1,4,3:45 PM,5:23 PM,1,8,,,,,4,10,,,,,,2,2,2,2,1,3,2,3,3,3,4,3,4,3,3,3,4,4,4,3,3,4,200,,,5,4,4,5,4,5,,,,4,99,,,1,2,2,2,2,16,,,5,5,5,3,2,,,,1,SAN FRANCISCO,"94,110",US,1,3,2,2,2,1,2,1,1.8708309999999999
"2,999","2,863","2,413",14,68,3,2,1,33,719,46,1,4,12:30 AM,5:23 PM,2,8,,,,,2,10,,,,,,1,0,1,1,1,0,2,4,4,3,4,4,4,6,0,2,4,6,5,4,4,4,910,,,4,5,4,5,3,4,,,,5,,,,2,2,2,2,1,2,,,7,4,3,4,2,,,,3,BRASILIA,,BRAZIL,14,6,1,1,3,2,2,1,1.8708309999999999
"3,000","2,864","2,413",14,68,3,2,1,33,719,46,1,4,12:30 PM,5:23 PM,2,8,,,,,2,10,,,,,,1,2,1,1,1,1,2,5,4,5,4,5,4,4,4,3,2,6,5,4,4,4,,,,4,4,4,4,5,4,,,,4,,,,2,2,2,2,1,,,,7,4,3,4,2,,,,3,JUIZ DE FORA,,BRAZIL,14,6,2,1,2,2,2,1,1.8708309999999999
"3,001","1,580","2,106",11,87,2,2,1,33,"1,451",43,1,1,11:00 AM,2:10 PM,2,8,,,,,3,10,,,,,,2,1,2,1,1,1,1,5,4,6,4,6,3,4,6,6,6,6,6,6,6,4,165,,,5,6,6,4,4,4,,,,5,2,,,2,2,2,2,1,2,,,11,0,3,5,1,9,,,3,MONTREAL,,CANADA,13,4,1,3,2,2,2,1,1.8708309999999999
"3,002","1,581","2,106",11,87,2,2,1,33,"1,451",43,1,1,9:15 AM,2:10 PM,2,8,,,,,3,10,,,,,,2,2,1,2,1,1,1,5,4,3,5,5,5,6,6,6,6,6,6,6,6,4,204,,,4,6,6,3,5,4,,,,5,1,,,2,2,2,2,2,,,,11,0,5,6,2,,,,3,CAMP HILL,"17,011",US,12,6,1,3,2,2,2,1,1.8708309999999999
"3,003","1,582","2,106",11,87,2,2,1,33,"1,451",43,1,1,1:00 PM,2:10 PM,2,8,,,,,2,10,,,,,,1,2,2,2,2,4,1,3,3,4,4,4,5,4,4,6,4,4,6,6,4,4,,,,4,6,3,4,4,4,,,,4,16,,,2,2,2,2,2,,,,1,5,4,4,2,,,,1,FREMONT,"94,536",US,3,6,1,2,2,1,1,1,1.8708309999999999
"3,004","1,583","2,106",11,87,2,2,1,33,"1,451",43,1,1,9:30 AM,2:10 PM,2,8,,,,,3,10,,,,,,2,2,1,2,1,1,1,6,5,5,3,3,2,6,6,6,6,6,6,6,6,4,161,,,5,6,6,5,5,5,,,,5,24,,,1,2,2,2,2,,,,11,0,1,6,1,3,,,3,CHICAGO,"61,008",US,11,5,2,0,2,1,2,1,1.8708309999999999
"3,005","1,584","2,106",11,87,2,2,1,33,"1,451",43,1,1,11:30 AM,2:10 PM,2,8,,,,,3,10,,,,,,2,1,1,1,1,1,1,4,3,3,4,4,5,6,4,3,6,6,6,6,6,4,910,,,1,3,3,1,1,1,,,,5,1,,,2,2,2,2,1,,,,11,0,5,6,2,,,,3,ST. AUGUSTINE,"32,086",US,12,5,1,0,2,2,2,1,1.8708309999999999
"3,006","1,585","2,106",11,87,2,2,1,33,"1,451",43,1,1,11:00 AM,2:10 PM,2,8,,,,,3,10,,,,,,0,0,1,1,1,4,2,3,4,4,4,4,4,6,6,1,6,6,6,6,6,4,204,,,2,6,6,4,3,3,,,,4,,,,2,2,2,2,1,2,,,11,6,3,6,2,,,,3,ALGOPUIN,"60,102",US,11,5,1,4,2,2,2,1,1.8708309999999999
"3,007","1,586","2,106",11,87,2,2,1,33,"1,451",43,1,1,12:30 PM,2:10 PM,2,8,,,,,3,10,,,,,,2,1,1,2,3,1,2,3,5,5,4,3,4,6,6,6,6,6,6,6,6,4,,,,4,6,6,5,4,4,,,,4,,,,2,2,2,2,2,,,,11,3,4,6,1,3,,,3,LAS VEGAS,"89,131",US,10,4,1,4,2,2,2,1,1.8708309999999999
"3,008","1,587","2,106",11,87,2,2,1,33,"1,451",43,1,1,12:00 PM,2:10 PM,2,8,,,,,4,10,,,,,,1,1,1,1,1,1,2,4,4,4,4,3,2,1,3,3,6,6,6,6,6,3,233,,,4,6,6,3,3,3,,,,3,,,,2,2,2,2,1,,,,5,3,4,3,2,,,,3,BLUFFTON,"29,910",US,12,6,2,2,2,2,2,1,1.8708309999999999
"3,009","1,588","2,106",11,87,2,2,1,33,"1,451",43,1,1,12:00 PM,2:10 PM,2,8,,,,,4,10,,,,,,1,2,1,2,1,3,2,4,3,3,3,4,4,6,6,6,3,6,6,6,6,3,,,,3,6,6,4,2,3,,,,4,,,,2,2,2,2,2,,,,5,4,3,3,2,,,,3,BLUFFTON,"29,910",US,12,7,1,4,2,2,2,1,1.8708309999999999
"3,010","1,589","2,106",11,87,2,2,1,33,"1,451",43,1,1,12:00 PM,2:10 PM,2,8,,,,,1,10,,,,,4,2,1,1,1,2,1,2,5,4,4,4,5,5,5,5,5,5,5,6,6,6,4,200,,,5,6,6,5,5,5,,,,5,5,,,2,2,1,2,1,4,,,5,5,5,5,2,,,,3,BAYTOWN,"77,521",US,11,2,1,1,2,2,2,1,1.8708309999999999
"3,011","1,590","2,106",11,87,2,2,1,33,"1,451",43,1,1,8:45 AM,2:10 PM,8,,,,,,10,,,,,,,0,0,1,0,1,1,2,6,3,6,0,5,1,6,6,6,6,6,6,6,6,6,233,,,5,5,6,0,5,5,,,,5,24,,,2,2,2,2,2,,,,12,1,1,3,1,9,,,3,ERIE,"16,509",US,12,6,1,5,0,2,0,1,1.8708309999999999
"3,012","1,591","2,106",11,87,2,2,1,33,"1,451",43,1,1,11:00 AM,2:10 PM,2,8,,,,,3,10,,,,,,2,2,1,1,1,1,2,4,4,4,3,5,5,5,5,1,0,0,0,0,0,4,,,,5,6,6,4,4,4,,,,5,4,,,1,2,1,2,1,6,,,11,6,3,3,2,,,,3,ST.LAURENT,,CANADA,13,4,1,4,2,2,2,1,1.8708309999999999
